Text,Weight,Word_Density,Noun_Count,Verb_Count,Adj_Count,Adv_Count,Pron_Count
rt mrhalimi live world syrian refuge surviv sell pen carri daughterdownwithassad,0.5147120609333741,6.666666666666667,6,1,3,1,0
rt campandfurnac call food trader mail iancampandfurnacecom detail part food event,0.0,6.833333333333333,11,0,0,0,0
jus thought safe hit break uk birmingham usa germani liftoff,0.0,5.454545454545454,6,1,3,0,0
news updat watch syrian refuge rais 160k crowfund via timesl,0.5398345637668169,5.454545454545454,6,0,2,0,0
rt realdonaldtrump im turn million dollar campaign contributionsfeel total stupid hope appreci,0.0,7.230769230769231,7,2,2,0,0
video member state share burden step plate help refuge un sec gen,0.2886751345948129,5.0,9,1,2,0,0
rt ajenglish meet man centr buypen chariti campaign,0.0,5.666666666666667,4,1,3,0,0
rt wikileaksparti uk rupert murdoch son jame campaign taxpay fund bbc,0.0,5.75,10,0,1,0,0
rt cmomaharashtra cm devfadnavi visit ration shopdistribut food grain amp interact farmer yerollaturdroughtrelief htt,0.0,7.8,10,1,3,0,0
rt ani30oct drought relief work scale cm devendra fadnavi tour worst affect district sept 1droughtrelief,0.0,6.5,9,2,3,0,0
rt cooliesteezn know right wadda relief,0.0,5.571428571428571,4,1,1,0,0
rt apunkfemm donald trump parent didnt come germani see america taken immigrantsm,0.0,6.230769230769231,9,2,0,1,0
guffer44 ur ndp follow amp u campaign seem sort stereotyp drunk start w ur tweet,0.0,5.0,8,2,4,1,0
rt mikaylajordan realli love peac campus time,0.0,5.625,7,0,0,0,0
rt charafc refuge wait behind fenc guard polic keleti train termin budapest closedsept 1,0.0,5.866666666666666,10,0,2,0,0
jordanhellrung class come gym plz,0.0,5.5,4,1,0,0,0
spacejordan what wrong jordi,0.0,5.6,1,1,1,0,1
mint colic relief simpl,0.0,4.6,3,0,1,0,0
rt realdonaldtrump yet anoth weak hit candid fail campaign jeb sink low poll other,0.0,5.466666666666667,7,1,4,1,0
build drinkabl advertisingcampaign build histori could way forward advertis,0.0,7.5,5,1,1,1,0
rt kobejordann check kobejordan airwad move fastth window kobejordanairwad hiphop mtv2 that,0.0,7.0,10,0,1,0,0
rt ukip ukip leader nigelfarag ill work absolut anyon get vote campaign,0.0,5.461538461538462,8,1,3,0,0
liter sweat right caus sprint across campus get class time,0.0,5.2727272727272725,6,1,1,1,0
call centr agent technic support jobpostingdopcdqcampwidpvampsortdampid18014390ampsourcerss,0.0,13.0,5,0,1,0,0
kunalkdhawan instant need walk stick help cross road feelold,0.0,6.0,5,3,1,0,0
rt simonpeach victor ibarbo set join watfordfc wait heathrow t5 arriv,0.0,5.75,9,1,1,0,0
promot crowdfund campaign 5,0.0,5.4,3,0,0,0,0
not hill carniv hundr arrest polic offic stab bitten,0.0,5.2,5,1,2,1,0
rt totterdell91 franc germani uk amp us state fast find far cost altern,0.2773500981126146,5.071428571428571,8,0,3,1,1
one german town welcom coachload syrian refuge 300000 peopl kill syria,0.8162234055111377,5.833333333333333,7,0,2,0,0
rt makeitingermani life work germani inform,0.0,6.142857142857143,5,0,1,0,0
clayyjordan got ta chang head gasket,0.0,5.142857142857143,4,1,1,0,0
rt littlesun campaign launch tomorrow support kickstart produc first batch new littl sun charg,0.0,6.266666666666667,10,1,2,1,0
rt theeconomist main rout migrant take reach europ,0.7071067811865475,5.555555555555555,4,1,3,0,0
rt mihanamiran1 2 year campashraf massacr crimin answer freethe7 ashrafmassacr amnesti unhcr iran,0.0,6.928571428571429,12,0,0,0,0
andreasenjordan realz ask anyon goe dentist,0.0,6.142857142857143,6,0,0,0,0
rt baileyrloweri miss camp fam,0.0,5.0,5,0,0,0,0
rt ajenew train hungari carri hundr refuge arriv vienna munich,0.0,5.636363636363637,10,0,0,0,0
longlivevan im say see that thing fuck idiot talk illeg immigr everi mexican,0.2773500981126146,5.428571428571429,8,2,2,0,0
5 day riverrad raft kayak sup camp w hipcamp snag trip two 5k gear,0.0,4.4,10,1,0,0,0
download refuge intern relat,0.0,5.6,3,0,1,0,0
jordandupee14 cassieclo dont know maaannnnnnn,0.0,7.5,4,1,0,0,0
weurgebail4bapuji constitut give fundament right justic amp relief injustic human right 4 bapu,0.0,6.714285714285714,6,1,4,1,0
rt tkoth3 let boy jordanwilson21 play mhsaa didnt anyth wrong,0.0,5.545454545454546,7,1,2,0,0
rt theeveapp ceo athenalamnisos1 amp theroobarb fantast womb cancer campaign rais awar gynaecanc,0.0,6.857142857142857,11,1,1,0,0
rt leb4refuge anoth way support syrian refuge buymouneh houseofmouneh project support refugeesbuypen https,0.44077307558221646,7.571428571428571,10,1,1,0,0
germani 4 day themattespinosa love uur snapchat stori alway make smile laugh,0.0,5.846153846153846,2,4,3,1,1
siala mani poster entir sg got campaign poster isit,0.0,5.1,7,2,0,0,0
rt emilyanne29 miss dog liberti libbi lost osu campus last seen indianola 6th 2 year old femal reward rt http,0.0,5.190476190476191,10,3,4,1,0
rt lakersn video jordan clarkson imit kobe bryant fadeaway jumper,0.0,5.909090909090909,9,0,1,0,0
rt brookscamp lot sockey salmon spawn river,0.0,5.375,5,0,2,0,0
fantysm pvtcheek cythedreadhead hey snoopdogg jordan cyrus hater,0.0,7.111111111111111,7,1,0,0,0
rt pitchcontroldj repost djcamphrc repostapphard rock cafe caraca pitch control abren las inscripcion,0.0,7.214285714285714,10,1,2,0,0
rt 5sos thank everyon uk amp germani support skh ep pick like,0.0,4.6923076923076925,7,1,2,0,0
iwishicouldforget one time band camp tagtherapi,0.0,6.714285714285714,4,1,0,0,0
like youtub video lottiegam camper lord royal parodi call duti ghost,0.0,5.666666666666667,6,2,1,0,1
newelllondon jazzorene faster34m signific buy jordan dont white peopl stand overnight buy 1000 appl product,0.0,6.6875,7,2,5,0,0
jrossall94 happi birthday jordan x,0.0,5.666666666666667,5,0,0,0,0
rt airjordann23 still need homecom date,0.0,5.571428571428571,4,1,0,1,0
rt chscampusnew wednesday 99 upon time dress like favorit princ princess fairi tale charact,0.0,6.066666666666666,10,0,1,0,0
rt 4freedominiran resid r depriv access 2 entclin baghdad ysilenc campliberti blockad ashrafmassacr freethe7 http,0.0,7.0625,12,0,1,0,0
howl surpris echo throughout valley googl campus sundar smile,0.0,6.1,7,1,0,0,0
rt sawyerl walk across campus 5 minsget drench sweat,0.0,5.2,6,1,0,0,0
rt macfound hundr connecticut jail bond less 20k via hartfordcour,0.0,5.909090909090909,5,1,1,0,0
rt woridpixx cologn dusk germani,0.0,5.333333333333333,5,0,0,0,0
amount peopl campus comment marin hat pretti awesom,0.0,5.666666666666667,6,1,0,0,1
rt man1red1 david degea arriv spain train camp mufc,0.0,5.1,9,0,0,0,0
happi cross utah drive cross countri greet dinosaur,0.0,5.666666666666667,7,0,1,0,0
rt jordangabriel love someon hard get someon love 10x harder,0.0,5.454545454545454,6,2,1,0,0
like realli still look like littl lost freshman campus everydaya whole year amp still idea im go lol,0.0,5.2631578947368425,9,3,2,2,0
monarch513 jlasuccess mrsguss noramonti shakhenba3 scamp246 georgeinbelfast dsecretconfess mydago wndrful hump day,0.0,8.76923076923077,9,0,2,1,0
extrem sexi blond nice bodi cati campbel suck dick,0.0,5.0,8,0,1,0,0
rt yoifeellik mitchi camp rock everyon found mother presid hot tune tv,0.2886751345948129,5.384615384615385,8,1,2,1,0
rt 5sosgermanyteam ashton bryana canadafor5so yesterday ny j,0.0,6.666666666666667,6,0,0,0,0
rt erickolguin15 miss homi chavez field campbellsoupp michaelvilla09,0.0,7.555555555555555,7,1,0,0,0
rt maomaosforehead infam hyolo wordswhoopi goldenretrieverbrian mcmorningunderground eyelinerfir fighter campfirerela,0.0,10.636363636363637,9,0,1,0,0
milliken realtre max 4 solid border area rug,0.0,4.888888888888889,5,1,1,0,0
rt whynotislam tear joy muslim girl germani suprem court karlsruh allow wear hijab school,0.0,5.933333333333334,9,1,4,0,0
giant hand jordansweeto,0.0,5.75,2,0,1,0,0
back pain book selfhelp guid daili relief back neck pain,0.0,5.090909090909091,8,0,0,2,0
rt jordanmabri donald trump,0.0,5.4,4,0,0,0,0
launch 1st crowdfund campaign today 10 give arts student year rt plz,0.0,5.230769230769231,10,0,0,0,0
biggest refuge crisi sinc wwii american media blow latest kim k ever grow ass sad,0.0,5.0625,9,0,5,1,0
rt wellchamb news 750000 fund small rural counti firm part northantsep campaign,0.0,6.076923076923077,7,1,2,1,0
rt ajordangoat23 see nicki cuss miley mileywhatsgood mileycyrus,0.0,7.0,6,1,1,0,0
arielcampbel im fli 12th like 2 day hahahah im hope time catch first,0.0,4.857142857142857,6,2,1,1,0
shock set apart subord deep space impbq,0.0,4.875,3,1,2,1,0
rt lilwaynk told loui saw 3 concert like sorri im loser like borderlin superfan eh im trash,0.0,5.055555555555555,11,3,0,0,0
nike foamposit pro blackgreenr preorder men gs jordan 1 5 6 7 9 11,0.0,4.4,3,1,2,0,0
lee camp afcb rufc,0.0,3.6,4,0,0,0,0
2 person camp instant tent hike ultra lightweight scout outdoor waterproof tactic gear zone gt tent c,0.0,5.611111111111111,11,0,5,0,0
rt athletetweet cant nike jordan materi shoe,0.0,5.5,5,0,1,0,0
dont hesit show human immigr crisi,0.4082482904638631,4.857142857142857,4,0,2,0,0
rt studeboy newborn cover hundr birthmark look 19 year later,0.0,5.454545454545454,6,0,2,1,0
rt sunnyhund excel attack yvett cooper uk govt respond refuge crisi speech today,0.2773500981126146,5.714285714285714,9,1,2,0,0
rt imiasanmia lewandowski instagram prepar match germani right track,0.0,6.8,7,0,2,0,0
rt iranpolici campliberti sieg obstruct entri cloth breach mou un amp iraq disappear freethe7,0.0,6.2,10,2,2,0,0
chang avatar support simoncommun simonforecast campaign plse visit amp send letter govt,0.0,6.6923076923076925,7,2,3,0,0
agatapyzik open countri border flexibl work conditionsthat inevit,0.0,7.222222222222222,5,1,1,1,0
rt derasachasauda u complet taglin cleanli campaign 4 msgswachhbharat conduct dss sinc 2011 ho prith,0.0,6.25,12,0,1,0,0
bad memori pleas dont migrantcrisi,0.0,5.666666666666667,3,1,1,0,0
jordanaxt prefer keep thing simpl there probabl room crisi great,0.0,5.818181818181818,5,1,3,1,0
rt irishinbritain power imag share across irish social media strike cord refugeecrisi,0.0,6.538461538461538,9,0,2,0,0
rt ontmmah move offcampus rent first time learn rent student,0.0,5.454545454545454,6,1,2,0,0
rt jordanem never get old,0.0,4.166666666666667,2,1,1,1,0
jordanjohnson09 lol hit though everyon strike card gon na win everyth doesnt even matter,0.0,5.866666666666666,7,2,1,2,0
rt mailchimp optim email power ab test test content campaign 3 variat time http,0.0,5.266666666666667,12,0,1,0,0
sensex rise mat relief foreign investor bse sensex nifti open higher today despit global mark,0.0,5.8125,9,1,4,1,0
air jordan 11 xi retro low ds size 85 bred blackr playoff,0.0,4.384615384615385,6,2,2,0,0
ks valut special air jordan 5 retro black metal silver 1999 ds never worn crack,0.0,4.9375,8,1,3,1,0
rt fretsward akamick huffpostmedia littl la raza bastard enemi us famili infiltr clinton campaign,0.0,6.466666666666667,7,2,2,0,1
rt botakajordan world knew mean cant hold emot god good proud lufc lufc,0.0,5.071428571428571,9,2,2,0,0
jordanle123 im laugh jordan,0.0,5.4,3,0,0,0,0
posit refuge tantamount jump water save someon stand let drown refugeecrisi eu,0.2886751345948129,6.0,6,5,1,0,0
rt yeezycentr kany west amp kim kardashian alexanderwangni someth campaign shot steven klein,0.0,6.571428571428571,6,2,3,1,0
rt 0hbaepost newborn cover hundr birthmark look 19 year later,0.0,5.545454545454546,5,0,2,1,0
shoe air jordan 5 black quai 54 v sampl pe sneaker size 85 friend,0.0,4.333333333333333,9,1,1,0,0
dead bc mcampbell16 tweetsim one even understand,0.0,6.0,2,2,1,1,0
rt adamcrafton messag de gea camp tonight goe back mufc determin win place back sulk strive,0.0,5.352941176470588,9,0,3,2,0
rt venturebeat cortana handl translat jordannovet,0.0,7.0,5,0,1,0,0
rt jordanmabri donald trump,0.0,5.4,4,0,0,0,0
rt putneydeb bonn1egr jackjoh01219520 amolrajan gkbhambra excel migrant vs citizen narrat,0.6030226891555273,7.416666666666667,11,0,0,0,0
rt jackharri snazzi look coffe machin arriv studio morn,0.0,5.5,8,0,1,0,0
rt kencampbell66 obama deal taliban congress say wont help syrian govt,0.5147120609333741,5.833333333333333,8,1,2,0,0
rt guardianus rob ford canadian laugh scott walker wall border idea,0.0,5.583333333333333,10,0,1,0,0
rt saviojoseph new vista print campaign made sector like print seem interest,0.0,5.846153846153846,6,3,2,0,0
rt csanfilippo01 secret run smarter retarget campaign via dynamicyield,0.0,7.0,6,0,1,1,0
rt hashafidh jordanian pilot burnt death isi intern outrag media story4 shia iraqi face fate amp,0.0,5.647058823529412,9,1,5,0,0
rt citizentommi actor tomuri comedian janeygodley disabl right campaign susanarchibald join score band amp speaker,0.0,7.125,12,0,2,1,0
u allow stupid wsu 2 stand pc ignor u accept path done 2 jew n nazi germani hater murder,0.20851441405707477,4.4,9,2,6,0,0
pray player remain healthi n effici play stay focus hope see joel campbel fair chanc,0.0,5.25,8,4,2,1,0
rt derasachasauda cleanli campaign msgswachhbharat missioniniti sinc 2011 gurmeetramrahim counter danger diseas h,0.0,8.071428571428571,11,1,0,0,0
photo migrant hide car engin enter spain ngtrend,0.7071067811865475,5.333333333333333,7,1,0,0,0
kocampo17 mcdo,0.0,4.666666666666667,2,0,0,0,0
rt boxoffic straight outta compton took 134m monday domest total stand 13536m straightouttacompton,0.0,7.0,6,2,3,0,0
rt john3ner slatukip 1 director also dir chartwel polit jame pryor chll pol iswa campaign director uk,0.0,5.611111111111111,13,2,0,1,0
eravani eravaniintroduct success introduct ep campaign fall amp winter watch,0.0,6.909090909090909,8,0,2,0,0
rt trendinghangout miamicelebs9 jordan hinson nude watch jordanhinson celebr fappieren london nyc,0.0,7.461538461538462,10,0,2,0,0
rt cmomaharashtra cm devfadnavi visit ration shopdistribut food grain amp interact farmer yerollaturdroughtrelief htt,0.0,7.8,10,1,3,0,0
rt mrsannetwist im support antibullyingpro back2school campaign share school photo get involv htt,0.0,6.928571428571429,8,1,4,0,0
rt iandunt germani 10point plan refuge britain refus even discuss,0.0,5.909090909090909,5,3,0,1,0
joy friend collect need item take calai refuge need help detail,0.0,5.25,7,3,1,0,0
nike air jordan retro xi 11 cool grey sz 12 space jam concord,0.0,4.357142857142857,6,2,2,1,0
rt jordanmabri donald trump,0.0,5.4,4,0,0,0,0
rt iyler alexand wang new campaign someth featur kim amp kany,0.0,5.083333333333333,7,2,2,0,0
rt chadjordan23 hoe talk anoth hoe,0.0,4.857142857142857,5,0,0,0,0
rt randallsan love song rt itsgabbydiaz majid jordan give us visual love feat drake,0.0,5.533333333333333,10,2,1,0,1
rt coliegestud park campus,0.0,5.2,4,0,0,0,0
rt freemediahub refuge migrant sign new petit refuge awar refuge syria buypen htt,0.6882472016116852,5.785714285714286,10,1,2,0,0
germani power train gear yet leetasker1,0.0,5.571428571428571,4,0,1,1,0
coachhuck22 made love basketbal summer camp caught rebound drove court got assist said great motiv,0.0,6.125,8,4,2,1,0
rt reutersuk migrant train reach germani eu asylum system creak,0.9486832980505138,5.7272727272727275,10,0,0,0,0
rt ryryelliott start applic camp america,0.0,5.714285714285714,3,1,2,0,0
rt neykodominguez lost puppi springfield sunshin campbel pleas rt onlyinspfd,0.0,6.909090909090909,6,2,2,0,0
watch periscop talk ronzheim refuge stori periscop,0.0,6.25,7,0,0,0,0
botakajordan let see skill season lufc,0.0,5.428571428571429,3,1,2,0,0
rt welcomeovo majid jordan love feat drake video play ovo blog,0.0,5.166666666666667,9,2,0,0,0
rt theonlycelia oh thank good somehow relief yesterday anticip delimabringthetruth delimadonotresign http,0.0,8.076923076923077,9,0,1,0,0
take 8 minut walk across campus oop,0.0,4.375,4,1,0,0,0
rt utsaquidditch club quidditch tryout today excit see utsacampusrec field 1 today 530 pm dont miss,0.0,5.823529411764706,10,2,1,0,0
grate got job campus doesnt involv work union,0.0,5.0,7,1,0,0,0
rt abcnews24 refuge dont burden make contribut polici enabl alexanderbett http,0.0,6.5,10,1,0,0,0
rt missinfo majidjordan drake love video watch,0.0,5.75,5,2,0,0,0
rt annelamott much favor chris christi plan use fed ex track techniqu immigr one home,0.2581988897471611,5.3125,7,4,2,1,0
dior video campaign avail homm winter collect via yahoonew,0.0,5.8,7,0,1,0,0
shoe air jordan 6 vi mvp histori jordan spizik men size 11,0.0,4.461538461538462,8,2,0,0,0
lizzycampbel jobabe032 chest,0.0,7.0,3,0,0,0,0
muse viktoriia krutskikh mouro art muse fantasyart photographi 2015 border ancient,0.0,6.833333333333333,9,0,1,0,0
rt rupt refuge influx prompt polic shut budapest main stationful video,0.0,5.833333333333333,6,0,5,0,0
relief,0.0,3.0,1,0,0,0,0
amant there love 699 amant disco vinyl record arriv stock see,0.0,5.083333333333333,7,1,1,0,0
acn creativ director tap 12yearold son model latest women wear campaignand result awesom,0.0,6.285714285714286,7,2,3,0,0
rt harleydavidson sdharley took inspir 45 wl45 us navi flathead hdstreet hdcustomk build rollyourown h,0.0,6.375,7,4,1,1,1
rt gigjap 926sta rivierawomb crossinggirlsgirlswomb tokyo riviera sapporo noriyukiomoto gigjap,0.0,8.545454545454545,9,0,0,0,0
path one refuge dw news report talk one syrian refuge like thousand other,0.4140342101788418,5.214285714285714,6,1,2,0,0
jame okeef polit sleuth stalk campaign wrongdo via nytpolit,0.0,5.9,7,1,0,0,0
hungari superb eastern imperi eagl long ear owl close middlespot woodpeck hawfinch show v well top day hot sun,0.0,5.5,10,1,5,3,0
shoe ds 105 air jordan toro bravo 4s new origin box sneaker,0.0,4.538461538461538,7,1,2,0,0
rt roseunwin britain welcom refuge past,0.0,5.571428571428571,5,0,0,0,0
watch halo 5 open cinemat open cinemat halo 5 guardian campaign releas,0.0,5.384615384615385,6,1,3,0,0
circles2015 dfwwordcamp pressnom guess im get serious whole wordpress thing,0.0,6.818181818181818,7,1,2,0,0
rt jordanjordanq98 arathortiz secret iam,0.0,6.666666666666667,4,0,1,0,0
cheekylatt mahoney2john hillchas eu pay net contributor countri 6000 per migrantth eu get money taxpay,0.48507125007266594,6.375,11,1,1,0,0
migrant chao budapest train station time india allthenew,0.7071067811865475,6.222222222222222,4,1,2,1,0
rt bigstarlet peopl fled germani promis land refugeeswelcom,0.0,6.555555555555555,6,1,1,0,0
rt rapup video majid jordan feat drake love,0.0,4.777777777777778,8,0,0,0,0
disambigu high unlik turk one ever use cross border reason previous mention,0.0,5.769230769230769,4,1,4,2,0
yxsxr rt utdreport messag de gea camp tonight goe back manchest unit determin win p,0.0,5.1875,9,1,2,1,0
nah one see campus dont stand,0.0,4.142857142857143,4,0,1,0,0
rt jordanjumzz crazi u get know someon els better even know,0.0,4.916666666666667,6,2,1,2,0
rt madhu03 danc democracyd4dinnov polit campagn youth open show umeedon wali dhoopsunshin wali aa,0.0,6.466666666666667,12,0,2,0,0
rt sailingnewson sail sailingnew austria netherland take 49er youth world honour,0.0,6.666666666666667,7,3,0,0,0
coach bronco speak head nebraska beatnebraska byufootbal byu,0.0,6.666666666666667,6,0,1,0,0
rt yoanty1 air jordan laser 1 comfort jordan 1 ever made cant tell,0.0,4.714285714285714,7,2,0,1,0
air jordan 14 retro black vibrant yellow size11,0.0,5.222222222222222,3,1,3,0,0
rt leukaemiacareuk today mark start bloodcancerawarenessmonth join campaign amp spread word blood cancer,0.0,7.428571428571429,12,0,1,0,0
whataburg utsa campus would perf,0.0,5.333333333333333,2,1,1,0,0
ukip launch campaign stay eu join two exist group mailonlin,0.31622776601683794,5.363636363636363,4,2,2,1,0
took mr krab plankton age wtf,0.0,4.142857142857143,5,1,0,0,0
live periscop atlanta germani airport,0.0,6.166666666666667,4,0,1,0,0
sog knife assist open hot black pocket camp stainless steel saber 64hu full read,0.0,5.333333333333333,6,1,6,0,0
rt aptlyengineerd sigal said african refuge child work ask could grow white wouldnt fa,0.0,5.733333333333333,9,2,2,0,0
rt sofiaorden refuge studi centr oxford univers sociolog 381702421 free sociolog 381702421,0.0,6.923076923076923,7,1,2,0,0
shoe air jordan fear pack 3 size 105 deadstock,0.0,4.6,6,1,0,0,0
rt 10and5 join team look creativ project manag work across campaign project event detail,0.0,5.866666666666666,12,0,0,0,0
wikipedia ban hundr black hat paid editor creat promot page site sometim wikipedi,0.0,5.785714285714286,9,1,3,0,0
rt jordanhoush stress much,0.0,5.2,3,0,1,0,0
rt postlikegirl newborn cover hundr birthmark look 19 year later,0.0,5.818181818181818,6,0,2,1,0
rt davehytn wenger anyth today either incom outgo joel campbel unus sub newc sat set stay,0.0,5.235294117647059,12,1,2,0,0
new video majid jordan love drake offici video majidjordandrak,0.0,6.2,7,1,1,0,0
rt gafollow peopl camp outsid new chickfila open 92 perimet mall free food year first 100 http,0.0,5.222222222222222,10,1,3,1,0
fun fact walk around campus day backpack weigh small child isnt good time rip2myshould,0.0,5.733333333333333,8,2,3,0,0
migrant chao budapest train station send fight isi first,0.6666666666666666,5.6,5,1,2,1,0
rt tomgara chipotl roll deliveri dozen colleg campus fall,0.0,5.7,9,0,0,0,0
rt tayhundr minor shit,0.0,4.4,3,0,1,0,0
thank follow doechaser1 let us know ever assist,0.0,5.222222222222222,2,3,1,1,1
rt mashabl hungari shut budapest train station leav migrant strand,0.6324555320336759,6.0,9,0,1,0,0
fleetstreetfox peopl ignor politician racist turn help refuge get,0.0,6.5,6,2,1,0,0
rt abeaboraya new 48 million health build come seminolest altamont spring campus anoth publicpriv partnership,0.0,6.8125,5,2,4,0,0
shoe jordan xi low cobalt size 95,0.0,4.125,5,0,1,0,0
collegelif new musick camp ft jeremih chang collegelifeshop,0.0,6.555555555555555,6,0,2,0,0
rt bradcarpent rt carolcampbell4 new resourc school leader use student voic inform literaci improv plan http,0.0,6.352941176470588,12,2,2,0,0
rt kimkanyekimyefc kanyewest amp kimkardashian alexanderwangni someth campaign shot steven klein,0.0,8.0,6,2,2,1,0
rt drudgereport murder elder coupl sicili fuel itali grow antiimmigr sentiment anncoult,0.0,6.6923076923076925,11,0,1,0,0
nike air jordan 1 retro high og shatter backboard sz 105 backboard sbb,0.0,5.0,8,1,1,1,0
jordanbridg that cruel,0.0,5.5,2,0,0,0,0
rt darthputinkgb divid thine enemy1 fund tyrant slaughter creat migrants2 critis eu migrant policy3 fund anti migrant p,1.066003581778052,6.2631578947368425,16,0,2,0,0
rt landesignuk need assist plan miner natur conserv specialist general plan work shireshour http,0.0,6.4,7,3,4,0,0
rt godlwt yall larri real give proof yall get hundr receipt,0.0,4.916666666666667,6,1,4,0,0
fact sheet us campaign launch new psa mark oneyear sinc launch us campaign,0.0,5.285714285714286,7,1,2,0,2
mislexi soft spot heart border cant stand bampn,0.0,5.222222222222222,7,0,1,0,0
rt dazedmagazin get first look nymphomaniac actress staci martin miumiuoffici campaign,0.0,7.166666666666667,8,1,2,0,0
rt woridstarcomedi park campus,0.0,6.0,4,0,0,0,0
rt zulemacampoy thnks fr th mmrs,0.0,4.571428571428571,4,1,1,0,0
robyn urback breath elig voter tom mulcair campaign promis via fullcom,0.0,5.833333333333333,9,0,1,0,0
rt chpsre rt hrw rt bouckap germani agre 2 take syrianrefuge stuck hungari eu countri sho,0.21320071635561041,5.235294117647059,12,2,1,0,0
afford give 10 month provid young girl direct relief child sexual exploit click,0.0,5.642857142857143,7,1,3,1,0
rt samaritanscymru jamesldown gofal campaign refresh eat disord framework wale patien,0.0,7.083333333333333,8,1,2,0,0
cross bar japaneseceil japanes cuisin yol,0.0,5.857142857142857,5,1,0,0,0
rt giselaestep photo syrian refuge beirut sell pen street goe viral humanright reuter,0.4734662332507986,6.071428571428571,7,1,5,0,0
aravindbk passion hobbi want take anoth level follow ebayindia shemeansbusi campaign,0.0,7.0,6,3,1,0,0
scottwalk canada wall serious news show joke campaign taken way uniteblu p2,0.0,5.769230769230769,9,1,2,0,0
tree fell temp campus famous ive seen 10 stori snapchat,0.0,5.0,2,2,2,3,0
rt jamsla16 troop recaptur northeast border town gamboru ngala,0.0,6.2,8,0,1,0,0
hundr refuge arriv vienna munich ajenew,0.0,5.571428571428571,4,1,0,0,0
10000 iceland offer hous syrian refuge author call via telegraph,0.5398345637668169,5.818181818181818,6,0,2,0,0
rt elizrael gov iceland agre resettl 50 refuge 10000 iceland offer person hous refuge,0.0,5.666666666666667,10,1,1,0,0
rt afp break 3650 migrant reach vienna train monday new daili record polic,0.5547001962252291,5.285714285714286,9,0,3,0,0
