Text,Weight,Word_Density,Noun_Count,Verb_Count,Adj_Count,Adv_Count,Pron_Count,Polarity
rt cantwellsunday your bath hotelstyl towel rack bathroom wall cabinet,0.0,6.363636363636363,8,1,0,0,1,0.0
rt sone4karogova sweden 10 doubleduti nightstand bedroom wall decal,0.0,6.7,5,1,2,0,0,0.0
my dicaprio space bit thing leonardodicaprio leo dicaprio mylov wall…,0.0,6.2727272727272725,9,0,0,0,1,0.0
rt thewoodgraing pray hand wood ornament uniqu christian wall art religi decor etsyretwt etsy…,0.0,6.266666666666667,10,1,3,0,0,0.3612
rt lidavydova99536 pink and black zebra print bedroom accessori – stylish bedroom decor idea bedroom wall sticker …,0.0,6.052631578947368,14,0,2,0,0,0.0
rt vogg pink and black zebra print bedroom accessori – stylish bedroom decor idea bedroom wall sticker …,0.0,5.473684210526316,14,0,2,0,0,0.0
rt delciem black bedroom suit mirror dresser bedroom wall unit,0.0,5.636363636363637,9,0,1,0,0,0.0
rt crosiertomasa pink and black zebra print bedroom accessori – stylish bedroom decor idea bedroom wall sticker …,0.0,5.947368421052632,14,0,2,0,0,0.0
rt beckyguerrero93 free waitros food magazin kitchen wall color apparel,0.0,6.454545454545454,8,1,1,0,0,0.5106
rt lidavydova99536 woodbridg kitchen magazin kitchen wall decor loan,0.0,6.8,9,0,0,0,0,0.0
rt rentzrentzd newhampshir free waitros food magazin kitchen wall color,0.0,6.454545454545454,7,1,2,0,0,0.5106
rt candidamissi pink and black zebra print bedroom accessori – stylish bedroom decor idea bedroom wall sticker …,0.0,5.894736842105263,14,0,2,0,0,0.0
russia despatch one missil corvett mediterranean agenc moscow reuter a ru world syria,0.2294157338705617,6.071428571428571,8,1,2,0,0,0.0
great in grey beani autumn cloth leather hoodi fashionista femm girl unisex streetart wall,0.0,6.0,7,0,5,0,0,0.7034
the latest thank esamsar almasslim syria streetart,0.2132007163556104,6.25,4,1,1,0,0,0.4926
rt dbeltwrit i shoe convers art wall heffrondr shoe santamonica captionthi,0.0,6.166666666666667,9,2,0,0,0,0.0
rt directd3mocraci ww3 urgent info usarmi chief threaten war with russia nhs bbc syria nato uk…,0.2182178902359924,5.588235294117647,9,1,4,1,0,-0.2023
rt ma000111 shame onu potus johnkerri ambassadorpow us peac council usbehind horrif death & amp ; destruct syria https…,0.2085144140570748,5.95,11,1,3,0,1,-0.6124
newspyre360 that would awesom desk wall clock,0.0,5.625,4,1,0,0,0,0.6249
inspir interior better wall design interiordesign,0.0,7.0,4,0,0,2,0,0.7165
uk column news 24th aug 2016 child sex church abus syria hagu,0.25,4.6923076923076925,9,0,1,0,0,0.0
rt politicallaugh the islam state assad two side bad coin syria,0.2294157338705617,5.25,6,0,2,0,0,-0.5423
japan mount aso erupt report injuri tokyo reuter mount aso volcano jap world syria,0.19245008972987526,5.466666666666667,9,2,3,0,0,-0.29600000000000004
chines paper mock us elect say scandal buri real issu beij reuter two ch world syria,0.2132007163556104,4.9411764705882355,9,3,1,1,1,-0.7184
rt kovandir +18 albab syria the number kurdish victim turkish warplan canon 24 confirmedpictur one victim …,0.2,5.944444444444445,10,2,2,0,0,-0.4767
a russiophil nazi you fuck fascist dog syria ukrain,0.30151134457776363,5.1,5,1,1,0,1,-0.5984
rt sarah131214 syriacivildef winner eye world syria,0.2294157338705617,6.375,7,0,0,0,0,0.4767
jihadi bride fled syria use life probat lesson fox news syria syrianew,0.2294157338705617,5.384615384615385,9,2,1,0,0,0.0
rt seldeeb war graffiti syria yes r besiegedbut pride pretti aleppo,0.2182178902359924,5.583333333333333,6,1,3,1,0,0.8221
alison linda press wall fuck odel linda alison wall press fuck,0.0,5.166666666666667,9,1,1,0,0,-0.6597
the latest the entrepreneurialist daili thank banderalmutlaq slaclab kredcarrol syria ies16,0.2357022603955159,7.583333333333333,8,0,1,0,0,0.4926
rt fastertagueur tree life 3615 streetart graffiti graff spray bomb wall pari,0.0,5.923076923076923,10,0,1,0,0,0.0
cyberblobb good peopl world love god particip syria iraq,0.2357022603955159,5.6,7,1,1,0,0,0.9231
the latest the ulrik beudgen daili thank schanzenini cbn2 bernardosampa syria,0.2357022603955159,6.416666666666667,7,0,2,0,0,0.4926
iraqi activist nadia murad win human right prize yazidi campaign libyan syria مصر,0.2357022603955159,5.785714285714286,8,1,4,0,0,0.7906
some us forgotten us dronebomb innoc civilian yemen wikileak syria russia saudi pakistan iran houthi,0.2182178902359924,6.25,6,2,4,0,2,0.4707
pentagon hint possibl retali yemen missil fire washington reuter the pen world syria,0.2294157338705617,6.0,9,2,1,0,0,-0.34
this us come togeth make better world syria,0.19245008972987526,4.777777777777778,3,2,1,0,1,0.4404
warn world hillari want war russia aleppo syria russia hillaryclinton,0.24253562503633294,6.2727272727272725,8,1,1,0,0,-0.68
liveleak johnson slam russian action syria bomb rain aleppo the hous syria daeshbag,0.2132007163556104,5.928571428571429,8,1,2,0,0,0.0
wallpap women ass leg pavel smolenskiy lingeri high heel wall garter belt,0.0,5.615384615384615,7,2,3,0,0,0.0
the latest scisocscrib syria aleppo,0.3333333333333333,5.833333333333333,3,0,1,0,0,0.0
rt johnrentoul live stop war demo outsid russian embassi syria,0.2581988897471611,5.636363636363637,7,0,3,0,0,-0.7269
tinoseeb i want give someth back syria aleppo jemen iraq help redcross…,0.19245008972987526,5.461538461538462,7,3,1,1,0,0.0772
let syria icc stw,0.3779644730092272,3.4,2,2,0,0,0,0.0
the latest libya sos daili news thank raf2attac africasdaught icrc syria aleppo,0.2182178902359924,6.076923076923077,6,2,3,0,0,0.4926
tweetmovi ux watch isi mosul unfold assault plan iraqi women syria russia arabia jihadist,0.2294157338705617,5.933333333333334,8,1,5,0,0,0.0
expos white helmet lie syria syriacrisi aleppo damascus kurd holocaustaleppo putincrim assadcrim,0.25,7.384615384615385,7,1,4,0,0,-0.6616
saneprogress 2min vidanalystsocal syria moder = heinz 57 varieti jihadist handsoffsyria,0.2357022603955159,7.25,5,1,2,0,0,0.0
the latest the soliman daili thank libyanaffair simnasr syria libya,0.24253562503633294,6.090909090909091,5,1,2,0,0,0.4926
must watch syrian women fight us back syrian rebel do buy fedback propaganda syria ccot tcot,0.20412414523193154,5.411764705882353,5,6,2,0,1,-0.3736
syria complex issu heavi hand polici enact unit state may serious repucurss syria,0.2182178902359924,5.785714285714286,7,2,3,0,0,0.3612
thailand king bhumibol world longest reign monarch die 88 bangkok reuter kin world syria,0.2,5.866666666666666,9,2,1,0,0,0.0
rt ahsanjehangir the latest in my view thank tomthedrumm bdsgenev corndog420 syria aleppo,0.2357022603955159,6.357142857142857,8,1,1,0,1,0.4926
paul craig robert washington is insan washington insan hegemoni usa neocon syria russia proxi,0.2357022603955159,6.2,9,2,3,0,0,-0.4019
putin the onli world leader speak sens syria & amp ; the migrant crisi migrant refuge syria usa russia,0.9608341482251328,5.1,9,1,4,0,0,-0.6249
and editor say ya i read mind that alway syria iraq,0.24253562503633294,4.25,5,3,0,1,0,0.0
syria ceasefir unlik concern focus prevent wider conflict voic america voic syria,0.2,6.230769230769231,10,1,1,0,0,-0.34
the latest silverwood daili news thank 40wattathen tbt syria,0.2672612419124244,6.0,5,1,1,0,0,0.4926
wait light turn green kreativli place newyork wall light new york… newszbreakin,0.0,6.076923076923077,7,1,4,0,0,0.0
crimin assad kill ppl deceiv anybodi spoof show syria aleppo,0.2294157338705617,5.454545454545454,5,2,2,0,0,-0.685
rt wooorldpolic what lesson learn histori aleppo syria,0.2672612419124244,6.0,4,2,1,0,1,0.0
the latest the best defens dod report thank techinfo savedbyhismerci teelin militari syria,0.22360679774997896,6.428571428571429,6,1,4,0,0,0.8356
inevit clash uspoli trump clinton syria russia pari cdnpoli ukpoli,0.2672612419124244,6.0,9,0,1,0,0,0.0
rt hermius1 countri suppli arm saudi kill civilian yemen syria reuter bbcnew cnn ap break wsj…,0.2182178902359924,5.529411764705882,12,1,3,0,0,-0.6908
the east asia studi daili stori via navalnew 9dashlin russia syria,0.24253562503633294,5.5,6,0,2,0,0,0.0
rt hermius1 countri suppli arm saudi kill civilian yemen syria reuter bbcnew cnn ap break wsj…,0.2182178902359924,5.529411764705882,12,1,3,0,0,-0.6908
syria uk offici make aggress statement war syria uk,0.2773500981126146,5.1,6,1,2,0,0,-0.1531
what human children doesnt even know yet earth syria alleppo,0.3592106040535498,5.454545454545454,2,3,2,2,1,0.0
china graft watchdog critic hong kong affair offic beij reuter the antigraft wa world syria,0.2132007163556104,5.6875,12,0,2,0,0,-0.34
nine arrest south africa polic student clash johannesburg johannesburg re world syria,0.2294157338705617,6.538461538461538,8,0,3,0,0,-0.4767
suicid bomber kill 17 baghdad shiit gather polic baghdad reuter a suicid bom world syria,0.2182178902359924,5.5,9,1,3,0,0,-0.9259999999999999
fantasi paper print etsi boho bohemian paper print set wall decor sundaymorn,0.0,5.846153846153846,9,1,2,0,0,0.0
rt colconnaughton in allianc alqaida israel is steal syria oil syria golan israel pillag pale…,0.2132007163556104,5.875,9,1,4,0,0,-0.5719
rt hamza780 map updat aleppo 15102016 hd thearabsourc thearabsourcea shtiar400 saa syria…,0.2357022603955159,6.846153846153846,9,0,1,1,0,0.0
nodapl hillari clinton donald j trump barack obama yemen syria china russia,0.25,5.769230769230769,8,1,1,1,0,0.0
oper 365 2 jefferson jay word – 296 oh brett wall nostalgia old day love brett wall,0.0,4.611111111111111,9,2,2,0,0,0.0
rt kiksrock antimo icon wall ideviceart,0.0,5.571428571428571,6,0,0,0,0,0.0
rt diametricnew diametr stori via hugoturner1969 hannahallam freesongsing malliardreport syria,0.25,8.545454545454545,8,1,0,0,0,0.0
the latest the daniel danta daili thank marioniltinho syria,0.25,5.9,6,0,1,0,0,0.4926
turkey obama back syria rebel pledg allegi alqaeda isi captur dabiq syria whereplan armageddon war,0.4714045207910317,6.125,10,2,1,1,1,-0.6808
rt ninaburleigh america need chilcot report bushcheney + iraq + isi = syria mayb even trump maga imho …,0.4364357804719848,5.15,13,3,2,1,0,0.0
india modi summit call pakistan mothership terror goa india reuter indi world syria,0.2085144140570748,5.928571428571429,11,1,1,0,0,0.0
the latest revolut and arabian news thank jonamorem syria aleppo,0.2581988897471611,5.818181818181818,6,0,2,0,0,0.4926
rt newstagoffici follow latest news conflict syria newstag,0.22360679774997896,6.444444444444445,5,0,2,1,0,-0.3182
rt frantownsend as aleppoisburn assad henchmen live life luxuri syria,0.2581988897471611,6.2727272727272725,6,1,2,0,0,0.0
dua weapon believ allepo syria 💔,0.3333333333333333,4.571428571428571,6,0,0,0,0,-0.29600000000000004
rt weactradio happen now syria russia potus2016,0.2132007163556104,5.875,5,1,0,1,0,0.0
from anoth point view yustagram potd mural wall art vsco vcscoph bonifacio global…,0.0,5.857142857142857,9,1,1,0,0,0.0
syria intellig chief egypt coordin anadolu agenc syria syrianew,0.2581988897471611,6.3,8,1,0,0,0,0.4767
nodapl mniwiconi hillari clinton donald j trump ami goodman podestaemail yemen syria,0.25,6.461538461538462,8,2,2,0,0,0.0
rt icitorg anatomi cyber jihad cyberspac new great equal syria taliban daesh wahhab isis…,0.4364357804719848,5.933333333333334,7,1,5,0,0,0.6249
aleppo bombard paus littl late us syria aleppo russia,0.24253562503633294,5.3,2,1,3,2,1,0.0
is gang deliv 7 villag turkish occup mercenari syria rojava,0.2581988897471611,5.363636363636363,4,1,3,1,0,0.0
rt kevinc74 christma concert lesfaurist 4 christian syria 1312 ndfchurchlondon aid eastern ch…,0.2085144140570748,6.714285714285714,9,0,2,0,0,0.0
dream catcher wall hang dreamcatch boho decor bohemian dreamcatch silver dream catcher boho dreamcat…,0.0,6.733333333333333,13,0,1,0,0,0.4588
aleppo the worst humanitarian disast sinc wwii not so fast mr kerri uspoli trump africa brazil syria,0.2182178902359924,5.555555555555555,9,0,4,2,0,-0.8481
noflyzon syria mean 70000 troop war russia accord us general russia warn could lead nuke war tytliv,0.1796053020267749,5.5,8,2,4,0,1,-0.872
the latest the agir daili thank aaronhomer1 tedsensei syria aleppo,0.24253562503633294,6.0,7,0,1,0,0,0.4926
militari sourc terrorist verg collaps northern hama syria,0.2581988897471611,6.333333333333333,5,0,3,0,0,-0.8074
hillari corrupt failur unfortun voter like trump worst enemi russiareset iraq libya syria isi,0.6123724356957946,6.2,11,0,2,0,0,-0.9078
turkish media strike kill 200 kurdish milit syria usa today syria syrianew,0.2294157338705617,5.6923076923076925,6,2,3,0,0,-0.802
rt wooorldpolic what lesson learn histori aleppo syria,0.2672612419124244,6.0,4,2,1,0,1,0.0
‘ attack terrorist aleppo way protect civilian – assad syriapolit,0.24253562503633294,5.909090909090909,7,0,3,0,0,-0.3612
what bomb insan still fall skys syria yemen,0.24253562503633294,4.777777777777778,4,1,1,1,1,-0.1531
thebookofnoodl jag race so cool gorillaz russia syria donbass children ty,0.5547001962252291,6.083333333333333,8,1,1,1,0,0.6361
rt coachcaseyfit 9 ft wall🤔 if first fail believ believ believ all rebound 🙌🐒💪💥 bonefrog tbt wall…,0.0,5.444444444444445,11,1,1,0,0,-0.6571
paul craig robert russia didnt attack the un aid convoy it a fals flag syria,0.4170288281141496,4.75,9,1,2,0,1,0.4303
peac fiscal reform would help colombia draw investor us offici bogota reuter colo world syria,0.22360679774997896,5.8125,6,3,4,0,1,0.7351
perspect pub wall decor london angel the old queen head,0.0,5.0,6,1,2,0,0,0.0
rt pb4p rboydbarrett denounc big power barbar bomb syrian peopl condemn ff doubl standard aleppo syria …,0.2085144140570748,5.777777777777778,14,0,3,0,0,-0.3954
men place 🔨 littl garag cabanon old platenumb car tool formenon home wall,0.0,5.214285714285714,9,2,2,0,0,0.0
rt hermius1 countri suppli arm saudi kill civilian yemen syria reuter bbcnew cnn ap break wsj…,0.2182178902359924,5.529411764705882,12,1,3,0,0,-0.6908
the bomb concentr regim forc deirezzor point syria iraq break news,0.2182178902359924,5.5,8,1,1,0,0,0.0
composit pannel wall patio,0.0,5.2,4,0,0,0,0,0.0
video day batnaya battl near villag north mosul syria iraq break news,0.20412414523193154,5.3076923076923075,6,2,3,0,0,-0.3818
reshuffl loom greek pm sag poll seek debt relief athen reuter greek prim world syria,0.2085144140570748,5.25,11,0,4,0,0,0.0
news trump hillari elect syria opinion the grow threat russia,0.2,5.545454545454546,7,1,1,0,0,-0.4019
jap sushibar thebest turin uramaki sushi sashimi sumo boy wall inst…,0.0,5.666666666666667,10,0,1,0,0,0.0
putin vs world unsc use vito 5 time syria issu russiaoccupysyria like ukrain us & amp ; the wes…,0.2085144140570748,4.8,10,2,0,0,1,0.3612
the jungl camp franc what franc plan demolish socal jungl camp cala syria,0.17677669529663687,5.214285714285714,9,0,2,0,1,0.0
syrian write to american the terrorist are sent by your govern syria assad,0.24253562503633294,5.285714285714286,4,3,2,0,1,-0.7531
rt centochilometri we destroy countri hand syria,0.2773500981126146,6.0,4,1,1,0,1,-0.4939
syria sexi girl hbo adult program,0.31622776601683794,4.714285714285714,3,1,2,0,0,0.5267
meet terrorist syria photo syria aleppo,0.2886751345948129,5.571428571428571,5,0,1,0,0,-0.6588
hey littl guy 🐢 turtl 🐢 anim hand white wall cute littl instaanim vsco…,0.0,4.733333333333333,11,1,2,0,0,0.0
arabspr stori via caorc egypt syria,0.2886751345948129,5.0,4,0,1,0,0,0.0
asma alassad syria desert rose first ladi hell the guardian syria syrianew,0.2182178902359924,5.6923076923076925,6,1,3,1,0,-0.6808
syria nude girl pic fat girl boy sex video,0.2581988897471611,4.2,6,1,2,0,0,0.0
mike penc show give speech one start chant build wall im dumfound trumppence16 merica killari wall,0.0,5.764705882352941,12,1,1,0,0,-0.3595
the latest the stephan klemm daili thank zehub syria trump,0.24253562503633294,5.2727272727272725,4,2,2,0,0,0.4926
britain syria thejournali syria syrianew,0.30151134457776363,6.666666666666667,3,2,0,0,0,0.0
rt shahinbozorgi saudil coalit tehran back houthi violat ceasefir almost 1000 time syria ح…,0.2182178902359924,6.066666666666666,8,2,1,2,0,-0.5106
can even imagin syria,0.3333333333333333,4.2,1,1,0,1,0,0.0
the pari attack are just the begin pari attack syria regim chang falseflag,0.2294157338705617,5.285714285714286,5,2,2,1,0,-0.4404
michael rivero us media campaign to get hillari elect clinton ill syria,0.25,5.461538461538462,6,2,2,0,1,0.0
the latest polit incorrect thank hadouta kimberleeclin berniebabe2016 syria nodapl,0.2581988897471611,7.454545454545454,8,0,1,0,0,0.4926
rt brainerdoda ladi uniqu bathroom vaniti – furnitur interior bathroom wall cover,0.0,6.230769230769231,11,0,1,0,0,0.0
rt champinem 16 magic thing you can do with fairi light bedroom wall mural,0.0,4.933333333333334,7,2,1,0,1,0.0
rt s3arch4isi towersight vla aut chose heavi cas usaf b52 spot north aleppo syria,0.2132007163556104,5.4,9,2,3,0,0,0.0
syria heavi clash mark end aleppo ceasefir the guardian syria syrianew,0.25,5.833333333333333,7,2,1,0,0,0.0
look you😂😂 background graffiti mural art hair messyhair blue vikaari wall…,0.0,6.166666666666667,7,0,3,0,0,0.0
rt raww the latest the raww scoop daili thank dwarfpoo healthhfitnss trappedinflesh syria chemtr…,0.19611613513818404,6.466666666666667,9,1,2,0,0,0.5848
rt evkulikova83991 interior wall sticker bedroom wall cabinet camera,0.0,6.8,8,1,0,0,0,0.0
the latest the casraw daili thank fulelo syria cat,0.25,5.0,6,0,1,0,0,0.4926
news trump hillari elect syria the make american pimp,0.2,5.3,4,2,2,0,0,0.0
the destruct successor us bomb town tlkyf northern mosul iraq syria break news,0.2182178902359924,5.571428571428571,9,1,1,0,1,0.0
mosul frantic grab oil freeforal johnkerri barackobama eu syria iraq kurdistan turkey,0.19245008972987526,6.538461538461538,10,0,2,0,0,-0.4404
news trump hillari elect syria 2 injur prison inmat set fire,0.19611613513818404,5.0,8,2,0,0,0,-0.7184
rt swapnishj captur zenfone3 nofilt wallart art urbanart homedecor wall design interi… https…,0.0,6.642857142857143,11,0,2,0,0,0.0
rt impuls britain first transatlant left found anoth thing unit around redbrown syria …,0.4264014327112208,5.8,7,3,2,0,0,0.0
mosul offens isi milit flee syria say tribal leader cnn intern syria syrianew,0.2357022603955159,5.5,8,2,3,0,0,-0.4588
itd difficult nofli zone syria also fight isi cnasdc,0.2581988897471611,5.2,5,1,2,1,0,-0.6124
paul craig robert 2013 syria washington is insan war policest syria stopbombingsyri,0.25,6.384615384615385,8,1,2,0,0,-0.4019
rt zuherjazmati when fascist love fascist ❤ assad syria britainfirst aleppo,0.25,6.25,7,1,2,1,0,0.3818
it detail wall fall stone autumn streetphotgraphi agreatcaptur photowalk,0.0,7.2,7,1,0,0,1,0.0
rt libyaso the latest libya sos daili news thank barbarakub russia syria,0.2182178902359924,5.538461538461538,8,1,2,0,0,0.4926
uk usa henchman syria assad regim syria usa uk stopbombingsyria,0.2357022603955159,5.7272727272727275,5,0,5,0,0,0.0
us senat washington $ 500 million syrian train program aid terrorist isi syria,0.19245008972987526,5.571428571428571,6,1,2,0,1,-0.6249
festiv offer & gt ; shop onlin wall tapestri handicrunch visit,0.0,5.166666666666667,6,0,1,0,0,0.0
macmillan back syria assassin plot syria falseflag 1957 stopbombingsyria regimecha……,0.2672612419124244,7.636363636363637,7,0,1,1,0,-0.5859
rt rtcnn news trump hillari elect syria manag trump the hardest job polit …,0.1889822365046136,5.0,9,2,1,0,0,0.0
next 600 fc – bmf bathroom furnitur bathroom wall paper,0.0,5.0,7,0,2,0,0,0.0
paini – contemporari italian design tap bathroom kitchen kitchen wall sticker,0.0,6.416666666666667,9,1,1,0,0,0.0
the latest syria news,0.2357022603955159,4.2,2,0,1,0,0,0.0
rt lockleartonia indiana cheapest bathroom suit bathroom wall paper american,0.0,6.909090909090909,9,0,1,0,0,0.0
ideas4peac news affili stori via ffpglobal campaignnv socent syria,0.2581988897471611,6.6,6,0,2,0,0,0.0
rt kujawskimitch glass countertop kitchen bar bathroom bathroom wall,0.0,6.8,9,0,0,0,0,0.0
rt madersarina next 600 fc – bmf bathroom furnitur bathroom wall paper,0.0,5.384615384615385,8,1,2,0,0,0.0
rt moscowtim russia flotilla flop moscow want impress world most laugh syria kuznetsov…,0.2294157338705617,6.214285714285714,8,2,3,0,0,0.6428
further proof anyon need isi russia & amp ; assad fight side aleppo syria,0.2085144140570748,4.866666666666666,7,1,3,1,0,-0.3818
jwattt i mention compar syria french revolut realli bitch go read book 😡🙄 syria,0.2357022603955159,5.266666666666667,10,2,2,0,0,-0.624
the latest in my view thank srslynotnox danocluanaigh berky919 syria aleppo,0.25,6.25,5,1,2,0,1,0.4926
rt deplorablezo madam secretari rejectedtrumptvshow syria syrianrefuge maga hillaryforprison2016 sourceshaveconfirmed…,0.31622776601683794,10.727272727272727,9,0,1,0,0,0.0
brandpunttv world leaderssham shameshamesham syriasham shamesham shameshameshameshamesham syria syrianwar,0.08770580193070293,10.5,7,1,1,0,0,0.0
rt isiyasah cc bds leftist propagandist use palestinian caus attack syria,0.4850712500726659,6.083333333333333,9,0,2,0,0,-0.4767
what pressur wall & amp ; legal pressur wall news tip rental cathybrentrealest homeown,0.0,5.733333333333333,8,1,2,0,1,0.1531
rt bhbuildingbrian londonstonesw here pic that cri cope finish seat wall firepit will…,0.0,6.142857142857143,7,2,2,1,0,-0.4767
rt franscuen yellow wall yellow wall mexico monclova adida black colour life,0.0,5.846153846153846,7,1,3,1,0,0.0
david ick fals flag hoax & amp ; puppet terrorist fals flag syria terror freedom,0.24253562503633294,5.0,8,2,2,0,0,-0.6249
rt pofomina21539 larg small corner bath bathroom citi bathroom wall clad,0.0,6.0,9,1,1,0,0,0.0
rt franscuen yellow wall yellow wall mexico monclova adida black colour life,0.0,5.846153846153846,7,1,3,1,0,0.0
the latest intidar daili thank debnicolina tulindaloglu vpkivimaki syria palestin,0.2581988897471611,7.363636363636363,8,0,1,0,0,0.4926
rt moezx this saudi isi nusra ideolog america want hand syria iraq mosulop mosul …,0.3713906763541037,5.125,10,3,1,0,0,0.4939
espana rajoypresident putin genocid murder aleppo syria shame blood hand marianorajoy serv t…,0.2182178902359924,6.642857142857143,12,0,1,0,0,0.0
rt asatyanarayanan hillaryclinton made million weapon deal creat greatest human suffer sinc wwii syria https…,0.2357022603955159,6.8125,10,1,3,0,0,0.1027
